coordinate	binary_sha256	source_sha256	source_url
jakarta.servlet:jakarta.servlet-api:6.0.0	c034eb1afb158987dbb53a5fea0cadf611c8dae8daadd59c44d9d5ab70129cef	3dc226f976152a4bf78a2b7ee0c67ba0e61029f1ba6f439767d7c5c7afaeef9d	https://repo.maven.apache.org/maven2/jakarta/servlet/jakarta.servlet-api/6.0.0/jakarta.servlet-api-6.0.0-sources.jar
jakarta.validation:jakarta.validation-api:3.0.2	291c25e6910cc6a7ebd96d4c6baebf6d7c37676c5482c2d96146e901b62c1fc9	77df917738f0f91718dfc5456d1f2b5aaa6326f3bf3bdf5606cf64f6c0512689	https://repo.maven.apache.org/maven2/jakarta/validation/jakarta.validation-api/3.0.2/jakarta.validation-api-3.0.2-sources.jar
jakarta.ws.rs:jakarta.ws.rs-api:3.1.0	6b3b3628b8b4aedda0d24c3354335e985497d8ef3c510b8f3028e920d5b8663d	9daf5a26dd3dce53049784a7d5258037f7b3da7df07eaa19a02efb785719052e	https://repo.maven.apache.org/maven2/jakarta/ws/rs/jakarta.ws.rs-api/3.1.0/jakarta.ws.rs-api-3.1.0-sources.jar
net.sourceforge.argparse4j:argparse4j:0.9.0	9eb3b54043038bc111bf0e15a8f69895244f92e3c2bc2800158578ca711f6117	db1ffc94cbf631bb2f977d3856ef9bf14957af15e77e945f5bb6dd2800d6a103	https://repo.maven.apache.org/maven2/net/sourceforge/argparse4j/argparse4j/0.9.0/argparse4j-0.9.0-sources.jar
org.eclipse.jetty:jetty-security:12.1.9	00dcd3f9258d7eb41fc1c1cbcbaa33a1a47710783e30ad512816f0c051423142	0a50c360002f05679b58bdf6a5532a665b44244e9077fda049867678423947fd	https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-security/12.1.9/jetty-security-12.1.9-sources.jar
org.eclipse.jetty:jetty-server:12.1.9	5dfc3736056cd941a783b21e50c983c235c1b0a593d4b0d2954966173a3f6a3e	7e7cb424b4aafb7fd3dfadd26b861f21cf7ff7a9bc114d90959efebc11c24870	https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-server/12.1.9/jetty-server-12.1.9-sources.jar
org.eclipse.jetty.ee10:jetty-ee10-servlet:12.1.9	7275d4bde7b0e790929bfba30efb2c13cf4eb3624bf03014f4d123366a1168e7	f0d39ce34f5f32d9fb50b47a2f5022e2ac2ba0055626252df355a6fc1ab51104	https://repo.maven.apache.org/maven2/org/eclipse/jetty/ee10/jetty-ee10-servlet/12.1.9/jetty-ee10-servlet-12.1.9-sources.jar
org.eclipse.jetty:jetty-session:12.1.9	121a9c2c9ba7274d751fe3e0d5408612c95b46df2ed20910cfecced5ae7b1659	0480336a1919fe4d8e043363804a261c02c86ab26691bd33d0cd9ea1949e790d	https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-session/12.1.9/jetty-session-12.1.9-sources.jar
org.eclipse.jetty:jetty-util:12.1.9	bb228358d4ae45c004d949edc397de1eb8aabc7adc5f9b9cbc833336e70a23bd	288938c2f79e1eadb069661157ccdbc821f774a7bb4f97395b6a154f954846cf	https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-util/12.1.9/jetty-util-12.1.9-sources.jar
org.eclipse.jetty.toolchain.setuid:jetty-setuid-jna:2.0.3	31ec2407665f55fd2eec7d938613ab8fc33cec44ea13e8f21fbe214cab25be99	6519de1ed5919b0bae967c55b8601634bf72afd284725650e81b9fe013715433	https://repo.maven.apache.org/maven2/org/eclipse/jetty/toolchain/setuid/jetty-setuid-jna/2.0.3/jetty-setuid-jna-2.0.3-sources.jar
net.java.dev.jna:jna-jpms:5.14.0	204912ead5e0891f53aab7be346b75758abbe38bd9fb2d320bfa21bbca6905b7	ebd774c761215676cda059fd68240628ef99f4aafa6d355ae00d184855aef134	https://repo.maven.apache.org/maven2/net/java/dev/jna/jna-jpms/5.14.0/jna-jpms-5.14.0-sources.jar
jakarta.inject:jakarta.inject-api:2.0.1	f7dc98062fccf14126abb751b64fab12c312566e8cbdc8483598bffcea93af7c	44f4c73fda69f8b7d87136f0f789f042f54e8ff506d40aa126199baf3752d1c9	https://repo.maven.apache.org/maven2/jakarta/inject/jakarta.inject-api/2.0.1/jakarta.inject-api-2.0.1-sources.jar
org.glassfish.jersey.core:jersey-common:3.1.11	ec516d7c2fdcfcd7eb7739eacf3cd6914e17a1595fd45826b33c8765965981b2	cd6b300cf6e14b200118ffc2e4af1d9767d2db5f8bee9963020200d97ccc2ad5	https://repo.maven.apache.org/maven2/org/glassfish/jersey/core/jersey-common/3.1.11/jersey-common-3.1.11-sources.jar
org.glassfish.hk2:osgi-resource-locator:1.0.3	aab5d7849f7cfcda2cc7c541ba1bd365151d42276f151c825387245dfde3dd74	603d0e07134189505c76a8c8d5d4451a91bf1327a05f1f5bcea09bad61bd507e	https://repo.maven.apache.org/maven2/org/glassfish/hk2/osgi-resource-locator/1.0.3/osgi-resource-locator-1.0.3-sources.jar
org.glassfish.jersey.ext:jersey-bean-validation:3.1.11	bd519833ef4363480559d05d23b429cd879e347b2b7b399741e1eb4431a6687c	52eebfd40d10112f7633d0c170e2c05a7f85291c432933b49394e750abab524b	https://repo.maven.apache.org/maven2/org/glassfish/jersey/ext/jersey-bean-validation/3.1.11/jersey-bean-validation-3.1.11-sources.jar
org.jboss.logging:jboss-logging:3.6.3.Final	7c12ee575508f81e22b1db9334b969d0ec54ef0fd1dcba24eeab1a44235fc366	e8a2b9aaac82b0082aa040e6bdf6cd7f225cdbc75d2bd1a79fa7b17007ec1b15	https://repo.maven.apache.org/maven2/org/jboss/logging/jboss-logging/3.6.3.Final/jboss-logging-3.6.3.Final-sources.jar
